,Train,Valid
0,2.411685,2.401167
1,1.766312,2.131963
2,1.464361,2.161969
3,1.176288,2.279802
4,0.874909,2.703901
5,0.626491,2.72634
6,0.414153,2.792781
7,0.265788,3.214682
8,0.178231,2.816011
9,0.117813,3.022807
10,0.094999,2.8369
11,0.092022,2.932347
12,0.07847,3.568981
13,0.117202,3.301953
14,0.147298,3.668501
15,0.16511,4.254285
16,0.143439,3.906651
17,0.075331,3.225555
18,0.037742,3.09266
19,0.016456,3.012077
20,0.016886,3.066682
21,0.009858,2.948419
22,0.003386,2.934381
23,0.003189,2.969759
24,0.005265,3.080893
25,0.002563,3.12681
26,0.010371,3.047278
27,0.001409,3.045271
28,0.001074,2.999898
29,0.00046,3.030946
